15:36:10.656 INFO  o.cornutum.tcases.ReducerCommand - Tcases 4.0.3 (2024-01-19)
15:36:10.665 INFO  o.cornutum.tcases.ReducerCommand - Reading system input definition=find-Input.xml
15:36:10.723 INFO  org.cornutum.tcases.Reducer - [find] Initializing test cases to be reduced
15:36:10.727 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Preparing constraint info
15:36:10.735 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Generating test cases
15:36:10.738 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Extended 0 valid base test cases
15:36:10.767 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Created 6 valid test cases
15:36:10.768 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Extended 0 base failure test cases
15:36:10.771 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Created 4 failure test cases
15:36:10.771 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Completed 10 test cases
15:36:10.793 INFO  org.cornutum.tcases.Reducer - [find] Round 1: starting next 10 samples
15:36:10.794 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Preparing constraint info
15:36:10.794 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Generating test cases
15:36:10.794 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Extended 0 valid base test cases
15:36:10.803 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Created 6 valid test cases
15:36:10.803 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Extended 0 base failure test cases
15:36:10.805 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Created 4 failure test cases
15:36:10.806 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Completed 10 test cases
15:36:10.807 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Preparing constraint info
15:36:10.807 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Generating test cases
15:36:10.808 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Extended 0 valid base test cases
15:36:10.815 INFO  o.c.t.generator.TupleGenerator - FunctionInputDef[find]: Created 5 valid test cases
